omega_rad_s,f1,f2
6.1332e+18,6.0619,0.042221
6.2324e+18,6.0603,0.040835
6.3332e+18,6.0588,0.039492
6.4356e+18,6.0574,0.038192
6.5397e+18,6.0559,0.036932
6.6455e+18,6.0545,0.035713
6.753e+18,6.0531,0.034533
6.8622e+18,6.0518,0.03339
6.9732e+18,6.0505,0.032283
7.086e+18,6.0492,0.03121
7.2006e+18,6.0479,0.030172
7.317e+18,6.0467,0.029168
7.4354e+18,6.0455,0.028195
7.5557e+18,6.0443,0.027254
7.6779e+18,6.0431,0.026343
7.802e+18,6.042,0.025461
7.9282e+18,6.0409,0.024607
8.0565e+18,6.0398,0.023781
8.1868e+18,6.0388,0.022981
8.3192e+18,6.0377,0.022206
8.4537e+18,6.0367,0.021457
8.5905e+18,6.0358,0.020733
8.7294e+18,6.0348,0.020031
8.8706e+18,6.0339,0.019352
9.014099999999999e+18,6.0329,0.018695
9.1599e+18,6.0321,0.018059
9.308e+18,6.0312,0.017445
9.4586e+18,6.0303,0.01685
9.6116e+18,6.0295,0.016275
9.767e+18,6.0287,0.015718
9.925e+18,6.0279,0.015179
1.0086e+19,6.0271,0.014659
1.0249e+19,6.0264,0.014155
1.0414000000000002e+19,6.0256,0.013668
1.0583e+19,6.0249,0.013197
1.0754e+19,6.0242,0.012741
1.0928e+19,6.0235,0.0123
1.1105e+19,6.0229,0.011874
1.1284e+19,6.0222,0.011462
1.1467e+19,6.0216,0.011063
1.1652e+19,6.0209,0.010678
1.1841e+19,6.0203,0.010306
1.2032e+19,6.0198,0.0099458
1.2227e+19,6.0192,0.0095978
1.2425e+19,6.0186,0.0092613
1.2626e+19,6.0181,0.0089362
1.283e+19,6.0175,0.0086219
1.3037e+19,6.017,0.0083182
1.3248e+19,6.0165,0.0080248
1.3463e+19,6.016,0.007741
1.3680000000000002e+19,6.0155,0.0074669
1.3902e+19,6.015,0.007202
1.4126e+19,6.0146,0.0069461
1.4355e+19,6.0141,0.006699
1.4587000000000002e+19,6.0137,0.0064603
1.4823e+19,6.0133,0.0062294
1.5063e+19,6.0129,0.0060066
1.5306e+19,6.0125,0.0057914
1.5553999999999998e+19,6.0121,0.0055835
1.5805e+19,6.0117,0.0053828
1.6061e+19,6.0113,0.0051889
1.6321000000000002e+19,6.0109,0.0050017
1.6585e+19,6.0106,0.004821
1.6853e+19,6.0102,0.0046465
1.7126e+19,6.0099,0.0044781
1.7403e+19,6.0096,0.0043155
1.7684e+19,6.0093,0.0041586
1.797e+19,6.009,0.0040071
1.8261e+19,6.0086,0.003861
1.8556e+19,6.0083,0.0037199
1.8856e+19,6.0081,0.0035838
1.9161e+19,6.0078,0.0034525
1.9471e+19,6.0075,0.0033258
1.9786e+19,6.0072,0.0032037
2.0106e+19,6.007,0.0030858
2.0431e+19,6.0067,0.0029721
2.0762e+19,6.0065,0.0028625
2.1098e+19,6.0062,0.0027568
2.1439e+19,6.006,0.0026549
2.1786e+19,6.0058,0.0025567
2.2138e+19,6.0056,0.002462
2.2496e+19,6.0054,0.0023707
2.286e+19,6.0051,0.0022828
2.323e+19,6.0049,0.002198
2.3605e+19,6.0047,0.0021163
2.3987e+19,6.0045,0.0020376
2.4375e+19,6.0044,0.0019619
2.477e+19,6.0042,0.0018889
2.517e+19,6.004,0.0018186
2.5577e+19,6.0038,0.0017509
2.5991e+19,6.0037,0.0016857
2.6410999999999996e+19,6.0035,0.001623
2.6839e+19,6.0033,0.0015626
2.7273e+19,6.0032,0.0015045
2.7714e+19,6.003,0.0014487
2.8162e+19,6.0029,0.0013949
2.8617e+19,6.0027,0.0013432
2.908e+19,6.0026,0.0012934
2.9551e+19,6.0025,0.0012456
3.0029e+19,6.0023,0.0011996
3.0514e+19,6.0022,0.0011629
3.1008e+19,6.0021,0.0011182
3.1509e+19,6.002,0.0010752
3.2019e+19,6.0019,0.0010339
3.2537e+19,6.0018,0.00099427
3.3062999999999996e+19,6.0016,0.00095619
3.3598e+19,6.0015,0.00091963
3.4141e+19,6.0014,0.00088451
3.4694e+19,6.0013,0.00085077
3.5255e+19,6.0012,0.00081836
3.5825e+19,6.0012,0.00078723
3.6404e+19,6.001,0.00075732
3.6993e+19,6.001,0.00072858
3.7592e+19,6.0009,0.00070097
3.82e+19,6.0008,0.00067444
3.8817e+19,6.0007,0.00064894
3.9445e+19,6.0006,0.00062444
4.0083e+19,6.0005,0.00060089
4.0731e+19,6.0005,0.00057826
4.139e+19,6.0004,0.0005565
4.206e+19,6.0003,0.00053559
4.274e+19,6.0003,0.00051549
4.3431e+19,6.0002,0.00049616
4.4134e+19,6.0001,0.00047758
4.4848e+19,6.0001,0.00045972
4.5573e+19,6.0,0.00044254
